"('my wife is singing and wants to dance to', 'wife')","('my husband is singing and wants to dance to', 'husband')","('my wive is singing and wants to dance to', 'wive')",,,,,
"('fake news everyone knows the den mothers are responsible for cookie sales numbers', 'mothers')","('fake news everyone knows the den fathers are responsible for cookie sales numbers', 'fathers')",,,,,,
"('my wive is a nurse got a job in', 'wive')","('my wife is a nurse got a job in', 'wife')","('my husband is a nurse got a job in', 'husband')",,,,,
"('fwiw my wive is an artist so when i see', 'wive')","('fwiw my wife is an artist so when i see', 'wife')","('fwiw my husband is an artist so when i see', 'husband')",,,,,
"('good laugh at this source good friends dad is a filipino nurse', 'dad')","('good laugh at this source good friends mom is a filipino nurse', 'mom')",,,,,,
"('my wife is an artist he goes through the', 'wife')","('my husband is an artist he goes through the', 'husband')","('my husband is an artist he goes through the', 'he')","('my wive is an artist he goes through the', 'wive')","('my husband is an artist she goes through the', 'she')",,,
"('my best friends girlfriend is an antivaxxer nurse i feel so', 'girlfriend')","('my best friends boyfriend is an antivaxxer nurse i feel so', 'boyfriend')",,,,,,
"('your telling me my husband is a nurse in a hospital about2', 'husband')","('your telling me my wife is a nurse in a hospital about2', 'wife')","('your telling me my wive is a nurse in a hospital about2', 'wive')",,,,,
"('are you single my wife is terrible at sewing', 'wife')","('are you single my husband is terrible at sewing', 'husband')","('are you single my wive is terrible at sewing', 'wive')",,,,,
"('my wive is a nurse and works nights im', 'wive')","('my husband is a nurse and works nights im', 'husband')","('my wife is a nurse and works nights im', 'wife')",,,,,
"('stop reading it in charlies voice the girl is clearly the waiter', 'girl')","('stop reading it in charlies voice the boy is clearly the waiter', 'waiter')","('stop reading it in charlies voice the boy is clearly the waiter', 'boy')","('stop reading it in charlies voice the boy is clearly the waitress', 'waitress')",,,,
"('post because im from ethiopia and my mom is still using this cookie container as', 'mom')","('post because im from ethiopia and my dad is still using this cookie container as', 'dad')",,,,,,
"('my girlfriend is a waiter can confirm he always', 'girlfriend')","('my boyfriend is a waiter can confirm he always', 'waiter')","('my boyfriend is a waiter can confirm she always', 'she')","('my boyfriend is a waiter can confirm he always', 'he')","('my boyfriend is a waitress can confirm he always', 'waitress')","('my boyfriend is a waiter can confirm he always', 'boyfriend')",,
"('nta girl is overreacting for drama', 'girl')","('nta boy is overreacting for drama', 'boy')",,,,,,
"('my girlfriend is shit at cooking though i taught', 'girlfriend')","('my boyfriend is shit at cooking though i taught', 'boyfriend')",,,,,,
"('a weird musical dance number where the boy is a football', 'boy')","('a weird musical dance number where the girl is a football', 'girl')",,,,,,
"('sell that art your wife is amazing', 'wife')","('sell that art your husband is amazing', 'husband')","('sell that art your wive is amazing', 'wive')",,,,,
"('ok pops take your medicine this nice lord is the nurse and hes hise to', 'lord')","('ok pops take your medicine this nice lady is the nurse and hes hise to', 'lady')",,,,,,
"('ua gfy  mfw you realize your wife is cooking on a southern plantation instead', 'wife')","('ua gfy  mfw you realize your wive is cooking on a southern plantation instead', 'wive')","('ua gfy  mfw you realize your husband is cooking on a southern plantation instead', 'husband')",,,,,
